;CU;CU2
0;0.6428571428571428;0.3829787234042553
1;0.8333333333333334;0.5797101449275363
2;0.875;0.6268656716417911
3;0.7647058823529411;0.33333333333333337
4;0.9344262295081968;0.6195652173913043
5;0.8404255319148937;0.6220472440944882
6;0.8181818181818181;0.631578947368421
7;0.9166666666666666;0.5
8;0.5616438356164384;0.41836734693877553
9;0.5151515151515151;0.3207547169811321
10;0.7777777777777778;0.5072463768115942
11;0.9210526315789473;0.6140350877192983
12;0.88;0.6407766990291262
13;0.7954545454545454;0.546875
14;0.7051282051282051;0.4700854700854701
15;0.9024390243902439;0.6065573770491803
16;1.0;0.5517241379310345
17;0.5316455696202531;0.37168141592920356
18;0.9166666666666666;0.5789473684210527
19;0.8448275862068966;0.5764705882352941
20;1.0;0.6799999999999999
21;0.7857142857142857;0.5689655172413793
